,artist,songTitle,genre,name,remixed,key,bpm
166,Leif Müller,Teleshop,Leftfield House & Techno,Teleshop,Original Mix,B maj,123.0
167,Emmanuel Top,Turkish Bazar - Original Remastered,,,,,
168,I Hate Models,Emerald - Original Mix,Techno (Raw / Deep / Hypnotic),Emerald,Original Mix,B min,136.0
169,Murat Uncuoğlu,Trees Of Light,Melodic House & Techno,Trees Of Light,Original Mix,E maj,120.0
170,Ø [Phase],Mo_del,Techno (Raw / Deep / Hypnotic),Mo_del,Original Mix,B♭ min,131.0
171,Huxley,Weapon 3,Techno (Peak Time / Driving),Weapon 3,Original Mix,A♭ min,126.0
172,Aleksi Perälä,GBBVT1337152 - Len Faki Hardspace Mix,Techno (Raw / Deep / Hypnotic),GBBVT1337152,Len Faki Hardspace Mix,E min,97.0
173,Truncate,Bassline,Techno (Raw / Deep / Hypnotic),Bassline,Original Mix,A♭ maj,130.0
174,Steve Parker,Rod,Techno (Peak Time / Driving),Rod,Original Mix,E maj,127.0
175,kirilik,Quad,Techno (Raw / Deep / Hypnotic),Quad,Original Mix,F♯ min,130.0
176,Biri,Snox101,Techno (Peak Time / Driving),Snox101,Original Mix,A♯ min,128.0
177,dj-spookie,Reload,House,Reload,Original Mix,D♭ min,133.0
178,Tobias Lueke,Lick Your Brain,Techno (Peak Time / Driving),Lick Your Brain,Original Mix,A min,128.0
179,Pomella,Mandala - Tobias Lueke Remix,Techno (Peak Time / Driving),Mandala,Tobias Lueke Remix,A♯ maj,130.0
180,Klangkuenstler,Lebendige Geister,Techno (Peak Time / Driving),Lebendige Geister,Original Mix,C min,132.0
181,Innershades,Finger on the Trigger,House,Finger on the Trigger,Original Mix,C maj,128.0
182,Jesse Somfay,Small Pebbled Forest - Len Faki Deepspace Mix,Techno (Raw / Deep / Hypnotic),Small Pebbled Forest,Len Faki Deepspace Mix,A min,128.0
183,System 7,Sirenes - System 7.1 Remix,Techno (Peak Time / Driving),Sirenes,System 7.1 Remix,B♭ min,128.0
184,Shlomi Aber,3000 Reasons Why,Techno (Raw / Deep / Hypnotic),3000 Reasons Why,Original Mix,G♭ maj,131.0
185,FenixForce,Domestic Violence - original mix,Hard Techno,Domestic Violence,original mix,E min,145.0
186,Flug,Rejected - Sam Paganini Remix,Techno (Peak Time / Driving),Rejected,Sam Paganini Remix,B maj,130.0
187,VII Circle,Alpha - Farrago Remix,Techno (Peak Time / Driving),Alpha,Farrago Remix,G min,130.0
188,Beat Therapy,Soul Matrix,Techno (Peak Time / Driving),Soul Matrix,Original Mix,B♭ min,130.0
189,A-Brothers,Breathe - Original Mix,Techno (Peak Time / Driving),Breathe,Original Mix,D min,128.0
190,David Temessi,Disco Squeak,Techno (Peak Time / Driving),Disco Squeak,Original Mix,B min,128.0
191,Advanced Human,Kilimanjaro - A. Mochi Remix,Techno (Raw / Deep / Hypnotic),Kilimanjaro,A. Mochi Remix,C min,128.0
192,Guidewire,Colony,Techno (Peak Time / Driving),Colony,Original Mix,G maj,129.0
193,Del Ectro,Mass Destruction - Original Mix,Techno (Peak Time / Driving),Mass Destruction,Original Mix,D maj,130.0
194,Dolby D,Demoniak,Techno (Peak Time / Driving),Demoniak,Original Mix,A maj,130.0
195,Sergy Casttle,Technobox,Techno (Peak Time / Driving),Technobox,Original Mix,B min,135.0
196,Kosmonova,Ayla - Radio Edit,House,Ayla,Radio Edit,C min,69.0
197,Zanias,Follow the Body - Dax J Remix,Techno (Peak Time / Driving),Follow the Body,Dax J Remix,F maj,135.0
198,LFO,LFO,Techno (Peak Time / Driving),LFO,Original Mix,G min,125.0
199,Ken Ishii,Traffic,Techno (Peak Time / Driving),Traffic,Original Mix,E min,124.0
200,Steve Mulder,Great White - Original Mix,Techno (Peak Time / Driving),Great White,Original Mix,E min,124.0
201,Edelstahl,No Limit - Alen Milivojevic Remix,Techno (Peak Time / Driving),No Limit,Alen Milivojevic Remix,A♭ min,126.0
202,The Loose Control Band,I Don’t Understand - Ryan James Ford ‘Akihabara’ Remix,Leftfield House & Techno,I Don't Understand,Ryan James Ford 'Akihabara' Remix,C maj,132.0
203,The Mover,Fire Cloud,Techno (Peak Time / Driving),Fire Cloud,Original Mix,A♭ min,128.0
204,GENAU,Genesi,Techno (Peak Time / Driving),Genesi,Original Mix,G min,128.0
205,Lewis Fautzi,Diagonal,Techno (Peak Time / Driving),Diagonal,Original Mix,B maj,120.0
206,SSS,Siglo 2,Techno (Peak Time / Driving),Siglo 2,Original Mix,C min,126.0
207,Spark Taberner,Scene One - Roberto Bosco Remix,Techno (Raw / Deep / Hypnotic),Scene One,Roberto Bosco Remix,A min,105.0
208,Ø [Phase],Burden Of Proof,Techno (Raw / Deep / Hypnotic),Burden Of Proof,Original Mix,C maj,131.0
209,Samuli Kemppi,Resonant Object - Original Mix,Techno (Peak Time / Driving),Resonant Object,Original Mix,A maj,128.0
210,MATRiXXMAN,Protocol,Techno (Peak Time / Driving),Protocol,Original Mix,E min,127.0
211,Randomer,Bring,Techno (Raw / Deep / Hypnotic),Bring,Original Mix,B min,125.0
212,Johannes Heil,Happy 808,Techno (Peak Time / Driving),Happy 808,Original Mix,B♭ min,129.0
213,Giacomo Renzi,Kaleidoscope,Techno (Peak Time / Driving),Kaleidoscope,Original Mix,F maj,131.0
214,SRVD,Talking 2 B Mad,,,,,
215,Spektre,Planet Noir,Techno (Peak Time / Driving),Planet Noir,Original Mix,A min,130.0
216,Andres Gil,Glass Room,Techno (Peak Time / Driving),Glass Room,Original Mix,A♭ min,130.0
217,Edo Messina,Muscida,Techno (Peak Time / Driving),Muscida,Original Mix,G maj,135.0
218,Bart Skils,Bells of the Revolution,Techno (Peak Time / Driving),Bells of the Revolution,Original Mix,E♭ maj,126.0
219,Boston 168,Oblivion,Techno (Peak Time / Driving),Oblivion,Original Mix,F♯ min,126.0
220,Tom Wax,I Wanna See You Bang - Olivier Abbeloos Remix,Techno (Peak Time / Driving),I Wanna See You Bang,Olivier Abbeloos Remix,A min,129.0
221,Atze Ton,Sens,Techno (Peak Time / Driving),Sens,Original Mix,E♭ min,130.0
222,Peja,Swango - Tom Hades Remix,Techno (Peak Time / Driving),Swango,Tom Hades Remix,G♭ min,132.0
223,Darpa,To The Headquarter,Techno (Peak Time / Driving),To The Headquarter,Original Mix,B maj,132.0
224,Mark Broom,Dank - Dave Simon Remix,Techno (Peak Time / Driving),Dank,Dave Simon Remix,G♭ min,65.0
225,Dolby D,Demoniak,Techno (Peak Time / Driving),Demoniak,Original Mix,A maj,130.0
226,Champas,GEAR - Atze Ton Remix,Hard Techno,GEAR,Atze Ton Remix,A min,130.0
227,0010X0010,Stranded On Neptune,Hard Techno,Stranded On Neptune,Original Mix,B♭ maj,132.0
228,Boiling Energy,Techno Backstab,Techno (Peak Time / Driving),Techno Backstab,Original Mix,B min,130.0
229,EINHORN (DE),Radius,Techno (Peak Time / Driving),Radius,Original Mix,B min,132.0
230,Monolock,One Man Dream,Psy-Trance,One Man Dream,Original Mix,A♯ maj,135.0
231,dubspeeka,K374,Techno (Peak Time / Driving),K374,Original Mix,D min,125.0
232,ANNA,Hidden Beauties,Techno (Peak Time / Driving),Hidden Beauties,Original Mix,F maj,125.0
233,Tobias Lueke,Bound,Techno (Peak Time / Driving),Bound,Original Mix,A♭ min,130.0
234,Clouds,Chained to a Dead Camel - Original Mix,Techno (Peak Time / Driving),Chained to a Dead Camel,Original Mix,G min,130.0
235,Optimuss,Aberrant - Original Mix,Techno (Peak Time / Driving),Aberrant,Original Mix,B min,133.0
236,Eddish,Little Helper 264-3,Techno (Peak Time / Driving),Little Helper 264-3,Original Mix,B maj,128.0
237,AIROD,Bloody Mary,Techno (Peak Time / Driving),Bloody Mary,Original Mix,D min,140.0
238,Uncertain,Transition - David Temessi Remix,Techno (Peak Time / Driving),Transition,David Temessi Remix,A min,130.0
239,Alien Fm,It's About the Bangin - Dj Floor Filler Mix,Techno (Peak Time / Driving),It's About the Bangin,Dj Floor Filler Mix,G min,138.0
240,Minimum Syndicat,Bizarre Brainwaves,Techno (Peak Time / Driving),Bizarre Brainwaves,Original Mix,G maj,123.0
241,Chris Hope,Propolis,Techno (Peak Time / Driving),Propolis,Original Mix,G♭ maj,128.0
242,Mike Humphries,Tactical Recon,Techno (Peak Time / Driving),Tactical Recon,A.Paul Remix,F min,132.0
243,Concrete DJz,Compact Solutions - Mike Humphries Remix,Techno (Peak Time / Driving),Compact Solutions,Mike Humphries Remix,A maj,133.0
244,Planetary Assault Systems,Temporary Suspension,Techno (Raw / Deep / Hypnotic),Temporary Suspension,Slam Rework,F min,127.0
245,Jonas Kopp,STP - Original Mix,Techno (Raw / Deep / Hypnotic),STP,Original Mix,A maj,129.0
246,Planetary Assault Systems,Rip The Cut,Techno (Raw / Deep / Hypnotic),Rip The Cut,Original Version,F min,130.0
247,DJ Ogi,Ruzina,Hard Techno,Ruzina,Original Mix,G♭ min,142.0
248,Polar Inertia,Vertical Ice,Techno (Raw / Deep / Hypnotic),Vertical Ice,Original Mix,A maj,98.0
249,Reeko,Capitulo 5 - mixed,Techno (Raw / Deep / Hypnotic),Capitulo 5,Original Mix,E♭ min,128.0
250,Randomer,Sheen,Techno (Raw / Deep / Hypnotic),Sheen,Original Mix,G maj,100.0
251,Nuclear Hyde,Accelerator,Trance,Accelerator,Original Mix,A min,74.0
252,TRYM,Transition,Techno (Peak Time / Driving),Transition,Original Mix,A♯ maj,143.0
253,Terence Fixmer,Oppression,Techno (Raw / Deep / Hypnotic),OPPRESSION,Original Mix,F maj,127.0
